symbol,"Atomic number start counting left top, left-right sequence","Periodic number start counting left bottom, left-right sequence","Periodic number start counting top right, right-left sequence","Periodic number start counting bottom right, right-left sequence",quantum number  (/),atomic weight  (10-3 kg),mass attenuation coefficient for MoKalpha (cm2 g-1),mass attenuation coefficient CrKalpha (cm2 g-1),mass attenuation coefficient for CuKalpha (cm2 g-1),mass attenuation coefficient FeKalpha (cm2 g-1),atomic electron scattering factor at 0.5 (/),electronegativity (Martynov&Batsanov) (/),electronegativity (Pauling) (/),electronegativity (Alfred-Rochow)  (/),electronegativity absolute  (/),energy ionization first (kJ mol-1),energy ionization second (kJ mol-1),energy ionization third (kJ mol-1),chemical potential Miedema (/),work function (eV),nWS1/3 Miedema (a.u.-1/3),nuclear charge effective Slater (/),charge nuclear effective (Clementi) (/),group number  (/),valence electron number (/),temperature melting  (K),temperature boiling  (K),enthalpy vaporization (kJ mol-1),enthalpy melting (kJ mol-1),enthalpy atomization (kJ mol-1),enthalpy surface Miedema (kJ mole-1),enthalpy vacancies Miedema (kJ mole-1),energy cohesive Brewer  (J mol-1),modulus compression (GPa),modulus bulk (GPa),modulus rigidity (GPa),modulus Young (GPa),Mendeleev Number,Mendeleev Number,Mendeleev Number,Mendeleev Number,Mendeleev Pettifor,Mendeleev Pettifor regular,Mendeleev chemists sequence,Mendeleev t-d start left,Mendeleev t-d start right,Mendeleev d-t start left,Mendeleev d-t start right,"Mendeleev H,Li,Na,Be,Mg as block t-d start left","Mendeleev H,Be,Mg t-d start left","Mendeleev H,Li,Na,Be,Mg t-d start left",radii pseudo-potential (Zunger) (a.u.),radii ionic (Yagoda)  (A),radii covalent (pm),radii metal (Waber) (A),distance valence electron (Schubert) (A),distance core electron (Schubert) (A),"volume atom (Villars, Daams) (10-2 nm3)",V2/3 Miedema (cm2),"atomic environment number (Villars, Daams)"
Cm,96,10,94,8,7,247,120,0,0,0,3.69,1.3,1.2,1.2,3.5,546.8,1193,1829,0,0,0,1.8,9,3,3,600,1440,359.7,14.6,382,0,0,3.86,0.5,0,0,0,30,75,29,74,41,40,38,31,74,30,73,26,28,26,4.87,1.01,180,1.81,1.9,0.96,2.998,0,12
Bk,97,11,93,7,7,247,120,0,0,0,3.72,1.3,1.2,1.2,3.5,530,1213,1859,0,0,0,1.65,9,3,3,1323,3000,360,14,291,0,0,3.9,0.5,0,0,0,32,73,31,72,40,39,40,33,72,32,71,28,30,28,5,1,180,1.81,1.69,1.04,2.818,0,12
Cf,98,12,92,6,7,251,120,0,0,0,3.75,1.3,1.2,1.2,3.5,521.9,1141,2153,0,0,0,1.65,9,3,3,1173,2800,360,14,175,0,0,3.9,0.5,0,0,0,34,71,33,70,39,38,42,35,70,34,69,30,32,30,5.02,0.99,180,1.81,1.74,1.03,2.727,0,12
Es,99,13,91,5,7,252,120,0,0,0,3.78,1.3,1.2,1.2,3.5,528.7,1156,2253,0,0,0,1.65,9,3,3,1133,2750,360,14,150,0,0,3.9,0.5,0,0,0,36,69,35,68,38,37,44,37,68,36,67,32,34,32,5.04,0.98,180,1.81,1.68,1.02,2.8,0,12
Fm,100,14,90,4,7,257,120,0,0,0,3.81,1.3,1.2,1.2,3.5,535.6,1171,2350,0,0,0,1.65,9,3,3,1800,3800,360,14,141,0,0,3.9,0.5,0,0,0,38,67,37,66,37,36,46,39,66,38,65,34,36,34,5.06,0.97,180,1.81,1.7,1.02,2.8,0,12
Md,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lr,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rf,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Db,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sg,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bh,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hs,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ds,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rg,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nh,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mc,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ts,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Og,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
