symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,lattice_constant,lattice_structure,melting_point,name,period,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,proton_affinity,gas_basicity,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_bondi,vdw_radius_truhlar,vdw_radius_rt,vdw_radius_batsanov,vdw_radius_dreiding,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,cas,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,symbol,first ionization energy eV
Bh,107,,,d,,,38,,,,,,,Bohrium,7,,,,,141,,,,,,,,,,,,,,,,,,,,,274,,,TRUE,54037-14-8,,,synthetic,,,128,119,58,4,,,Bh,7.7
Hs,108,,,d,,,36,,,,,,,Hassium,7,,,,,134,,,,,,,,,,,,,,,,,,,,,269,,,TRUE,54037-57-9,,,synthetic,,,125,118,62,4,,,Hs,7.6
Mt,109,,,d,,,34,,,,,,,Meitnerium,7,,,,,129,,,,,,,,,,,,,,,,,,,,,276,,,TRUE,54038-01-6,,,synthetic,,,125,113,66,3,,,Mt,
Ds,110,,,d,,,32,,,,,,,Darmstadtium,7,,,,,128,,,,,,,,,,,,,,,,,,,,,281,,,TRUE,54083-77-1,,,synthetic,,,116,118,70,3,,,Ds,
Rg,111,,,d,,,32,,,,,,,Roentgenium,7,,,,,121,,,,,,,,,,,,,,,,,,,,,281,,,TRUE,54386-24-2,,,synthetic,,,116,118,74,6,,,Rg,
Cn,112,,,d,,,28,,,,,,,Copernicium,7,,,,,122,,,,,,,,,,,,,,,,,,,,,285,,,TRUE,54084-26-3,,,synthetic,,,137,130,80,2,,,Cn,
Nh,113,,,p,,,29,,,,,,,Nihonium,7,,,,,136,,,,,,,,,,,,,,,,,,,,,286,,,TRUE,54084-70-7,,,synthetic,,,,,86,2,,,Nh,
Fl,114,,,p,,,31,,,,,,,Flerovium,7,,,,,143,,,,,,,,,,,,,,,,,,,,,289,,,TRUE,54085-16-4,,,synthetic,,,,,92,4,,,Fl,
Mc,115,,,p,,,71,,,,,,,Moscovium,7,,,,,162,,,,,,,,,,,,,,,,,,,,,288,,,TRUE,54085-64-2,,,synthetic,,,,,98,20,,,Mc,
Lv,116,,,p,,,,,,,,,,Livermorium,7,,,,,175,,,,,,,,,,,,,,,,,,,,,293,,,TRUE,54100-71-9,,,synthetic,,,,,104,,,,Lv,
Ts,117,,,p,,,76,,,,,,,Tennessine,7,,,,,165,,,,,,,,,,,,,,,,,,,,,294,,,TRUE,87658-56-8,,,synthetic,,,,,111,15,,,Ts,
Og,118,,,p,,,58,0.056,,,,,,Oganesson,7,,,,,157,,,,,,,,,,,,,,,,,,,,,294,,,TRUE,54144-19-3,,,synthetic,,,,,118,6,,,Og,
